,title
23309,Brick Mansions ( 2014 )
18961,Bride Flight ( 2008 )
13349,Bride Wars ( 2009 )
2208,Bride of Chucky ( 1998 )
12866,Brideshead Revisited ( 2008 )
17169,Bridesmaids ( 2011 )
33401,Bridge of Spies ( 2015 )
11577,Bridge to Terabithia ( 2007 )
40984,Bridget Jones's Baby ( 2016 )
4129,Bridget Jones's Diary ( 2001 )
8272,Bridget Jones: The Edge of Reason ( 2004 )
4126,Brigham City ( 2001 )
14243,Bright Star ( 2009 )
3765,Bring It On ( 2000 )
6098,Bringing Down the House ( 2003 )
2138,Broadcast News ( 1987 )
7580,Broadway Danny Rose ( 1984 )
10484,Brokeback Mountain ( 2005 )
2665,Brokedown Palace ( 1999 )
93,Broken Arrow ( 1996 )
20333,Broken City ( 2013 )
10276,Broken Flowers ( 2005 )
14114,Bronson ( 2008 )
27861,Brooklyn ( 2015 )
12107,Brooklyn Rules ( 2007 )
14970,Brooklyn's Finest ( 2009 )
4524,Brother ( 2000 )
4909,Brotherhood of the Wolf ( 2001 )
14514,Brothers ( 2009 )
5543,Brown Sugar ( 2002 )
6252,Bruce Almighty ( 2003 )
1813,Buffalo '66 ( 1998 )
3155,Buffy the Vampire Slayer ( 1992 )
11868,Bug ( 2006 )
6672,Bugsy ( 1991 )
3252,Bull Durham ( 1988 )
18300,Bullet to the Head ( 2013 )
30975,Bulletproof ( 1988 )
863,Bulletproof ( 1996 )
6948,Bullitt ( 1968 )
1780,Bulworth ( 1998 )
9512,Bummer ( 2003 )
15317,Buried ( 2010 )
16757,Burke & Hare ( 2010 )
16444,Burlesque ( 2010 )
20636,Burn ( 2012 )
12949,Burn After Reading ( 2008 )
33093,Burnt ( 2015 )
210,Burnt by the Sun ( 1994 )
3671,But I'm a Cheerleader ( 1999 )
1265,Butch Cassidy and the Sundance Kid ( 1969 )
3632,Butterfly ( 1999 )
33355,By the Sea ( 2015 )
19915,Byzantium ( 2012 )
